Card_ID,Dt_Customer,Recency,MntGroceries,MntStationery,MntHouseKeeping,MntWellness_&_Beauty,MntElectronics_&_Supplies,MntLimitedEdition,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain
10003075,11/3/2018,66,622,70,678,,51,34,1,12,7,10,4,0,1,0,0,0,0
10003076,4/18/2019,6,1014,15,643,74,36,36,1,9,4,8,1,0,0,0,0,0,0
10003078,7/22/2018,10,639,88,185,64,53,160,3,13,5,13,5,0,0,0,0,0,0
10003079,2/3/2018,26,806,56,350,54,54,260,1,15,9,11,6,0,0,0,1,0,0
10003080,10/31/2018,65,32,1,29,2,0,20,5,9,3,3,9,1,0,0,0,0,0
10003081,12/7/2017,73,293,24,49,4,33,12,7,11,4,6,7,0,0,0,0,0,0
10003083,10/31/2018,75,639,126,539,152,152,152,1,11,7,11,1,0,0,1,0,0,0
10003085,3/8/2019,93,344,123,281,83,46,28,1,9,5,5,1,0,0,0,0,0,0
10003089,11/24/2017,31,11,0,7,4,2,6,1,7,2,2,9,0,0,0,0,0,0
10003091,4/17/2019,37,0,4,6,5,0,5,1,7,2,3,3,0,0,0,0,0,0
10003093,11/4/2018,52,8,6,11,10,5,18,1,7,2,3,6,0,0,0,0,0,0
10003096,12/19/2017,4,6,34,20,17,53,113,1,9,3,3,7,0,0,0,0,0,0
10003097,2/17/2019,42,14,5,29,5,4,17,3,8,2,4,5,0,0,0,0,0,0
10003098,10/10/2017,59,244,12,76,11,15,149,4,12,5,3,8,1,0,0,0,0,0
10003099,2/20/2019,14,670,79,685,191,210,114,1,10,8,4,1,0,0,1,0,0,0
10003100,9/29/2018,52,449,95,443,34,69,46,1,12,8,12,4,0,0,0,0,0,0
10003101,2/17/2018,99,54,0,18,0,2,11,2,8,2,3,7,0,0,0,0,0,0
10003102,6/22/2019,12,24,1,7,2,3,10,1,7,3,2,4,1,0,0,0,0,0
10003103,2/3/2019,17,30,1,8,4,3,5,4,8,3,3,6,0,0,0,0,0,0
10003104,4/27/2019,61,69.9,2.3,12.7,3.6,289.8,366.4,0,22,1,1,1,0,0,0,0,0,0
10003105,9/15/2018,56,17,0,4,0,0,4,1,7,2,2,8,0,0,0,0,0,0
10003106,3/20/2019,21,18,0,3,0,0,8,1,7,2,2,6,1,0,0,0,0,0
10003108,3/15/2019,21,11,6,20,9,6,5,2,8,3,3,4,0,0,0,0,0,0
10003112,6/26/2019,87,282,8,181,21,16,10,1,11,4,8,3,0,0,0,0,0,0
10003113,8/23/2017,94,88,3,100,11,2,39,7,10,3,4,8,0,0,0,0,0,0
10003114,3/11/2019,30,1126,142,830,147,98,220,1,11,12,6,2,0,1,1,1,0,0
10003116,7/13/2018,80,21,2,8,0,4,14,3,7,3,3,5,0,0,0,0,0,0
10003118,3/3/2018,13,672,71,303,110,24,36,3,12,5,6,4,0,0,0,0,0,0
10003119,9/10/2017,52,2,4,11,27,0,44,1,7,3,2,6,1,0,0,0,0,0
10003121,1/13/2018,81,232,83,318,46,54,154,6,16,5,6,9,0,0,0,0,0,0
10003122,12/17/2018,56,447,6,212,8,22,72,2,13,4,9,5,0,0,0,0,0,0
10003123,6/18/2018,14,56,1,36,3,8,11,2,8,2,4,8,0,0,0,0,0,0
10003124,2/28/2019,31,477,71,425,48,134,24,1,12,6,5,3,0,0,0,0,0,0
10003125,5/4/2018,47,26,0,4,0,0,0,1,7,2,3,4,0,0,0,0,0,0
10003129,7/10/2018,53,345,79,158,52,190,52,1,14,6,8,6,0,0,0,0,0,0
10003130,4/17/2018,25,5,13,13,0,18,15,3,9,2,3,9,0,0,0,0,0,0
10003132,8/27/2018,99,17,8,68,28,17,48,2,9,3,3,6,0,0,0,0,0,0
10003133,5/20/2018,69,520,0,54,5,5,88,4,11,9,4,5,0,0,0,0,0,0
10003134,2/10/2018,28,431,35,346,86,140,107,1,13,5,13,4,0,0,0,0,0,0
10003137,11/17/2017,19,16,67,56,22,4,20,4,10,3,3,9,0,0,0,0,0,0
10003138,4/7/2018,30,348,49,,209,228,59,9,12,5,13,5,0,0,0,0,0,0
10003139,1/12/2018,4,215,0,88,28,17,14,5,12,3,5,8,0,0,0,0,0,0
10003141,9/2/2017,83,166,5,35,4,11,101,5,10,3,4,8,1,0,0,0,0,0
10003144,2/14/2018,45,1052,107,304,129,203,50,1,10,11,10,2,0,0,0,0,0,0
10003145,9/19/2017,38,561,92,118,111,0,129,5,16,4,9,8,0,0,0,0,0,0
10003146,11/20/2018,6,8,12,,9,12,41,2,8,2,3,8,0,0,0,0,0,0
10003149,8/10/2017,26,611,133,547,72,29,117,2,13,7,6,4,0,0,0,0,0,0
10003151,5/9/2019,35,261,76,760,46,31,46,1,9,13,5,1,0,0,0,0,0,0
10003152,3/21/2019,44,54,4,20,16,9,58,1,8,2,4,3,0,0,0,0,0,0
10003156,9/3/2017,79,612,0,262,28,130,195,2,15,8,11,5,0,0,0,0,0,0
10003157,9/15/2018,41,268,3,108,8,8,52,8,14,3,4,9,1,0,0,0,0,0
10003158,5/24/2018,35,333,21,399,34,34,42,1,10,7,11,3,0,0,0,0,0,0
10003159,4/23/2018,69,10,15,30,0,24,40,2,9,3,2,8,1,0,0,0,0,0
10003163,12/21/2017,59,114,2,19,2,2,60,3,9,3,3,8,0,0,0,0,0,0
10003164,6/29/2018,89,267,6,73,8,4,4,4,8,4,8,3,0,0,0,0,0,0
10003167,4/9/2018,75,9,4,10,26,2,24,3,8,2,4,8,0,0,0,0,0,0
10003168,6/12/2018,8,656,0,53,0,8,8,1,13,5,8,5,0,0,0,0,0,0
10003169,1/8/2019,12,29,0,15,0,0,14,1,7,2,3,8,1,0,0,0,0,0
10003171,5/4/2019,75,47,1,13,0,3,15,3,8,3,3,4,0,0,0,0,0,0
10003172,6/6/2019,70,29,2,11,4,0,11,2,8,2,3,6,0,0,0,0,0,0
10003174,10/30/2018,74,1281,138,826,0,23,47,1,13,7,8,4,0,1,1,1,0,0
10003175,3/2/2019,98,34,0,5,0,0,2,1,7,2,3,5,0,0,0,0,0,0
10003176,6/8/2018,29,225,93,360,168,38,38,1,10,5,4,2,0,0,0,0,0,0
10003178,5/31/2019,71,444,9,366,148,137,34,3,12,5,5,3,0,0,0,0,0,0
10003180,12/1/2017,30,0.6,0,0.8,0.5,1.9,420.4,0,1,0,0,137,0,0,0,0,0,0
10003182,11/25/2018,12,4,10,14,0,8,14,1,8,2,3,7,0,0,0,0,0,0
10003183,10/23/2017,19,135,14,33,15,15,23,4,9,3,5,7,0,0,0,0,0,0
10003184,9/11/2018,43,11,0,19,11,5,30,2,8,3,2,6,0,0,0,0,0,0
10003185,2/25/2019,78,2.6,0.4,1.7,0.6,306.9,0.5,0,1,0,0,0,0,0,0,0,0,0
10003187,3/5/2018,92,579,22,149,,58,55,0,11,10,4,2,1,0,1,1,0,0
10003188,5/12/2019,73,4,3,10,0,4,0,1,7,2,2,6,0,0,0,0,0,0
10003190,6/13/2019,74,26,4,19,3,2,15,4,8,2,4,5,0,0,0,0,0,0
